,평일 가중치,주말 가중치,평일 프로파일 (평균 75kW),주말 프로파일 (평균 55kW)
0,0.5669291338582677,0.9230769230769231,42.51968503937008,50.769230769230774
1,0.5669291338582677,0.9230769230769231,42.51968503937008,50.769230769230774
2,0.5669291338582677,0.9230769230769231,42.51968503937008,50.769230769230774
3,0.5669291338582677,0.9230769230769231,42.51968503937008,50.769230769230774
4,0.6614173228346456,0.9230769230769231,49.60629921259842,50.769230769230774
5,0.6614173228346456,0.9230769230769231,49.60629921259842,50.769230769230774
6,0.6614173228346456,1.076923076923077,49.60629921259842,59.23076923076924
7,0.8503937007874016,1.076923076923077,63.77952755905512,59.23076923076924
8,1.0393700787401576,1.076923076923077,77.95275590551182,59.23076923076924
9,1.3228346456692912,1.076923076923077,99.21259842519684,59.23076923076924
10,1.5118110236220472,1.076923076923077,113.38582677165354,59.23076923076924
11,1.2283464566929134,1.076923076923077,92.1259842519685,59.23076923076924
12,1.5118110236220472,1.076923076923077,113.38582677165354,59.23076923076924
13,1.5118110236220472,1.076923076923077,113.38582677165354,59.23076923076924
14,1.6062992125984252,1.076923076923077,120.4724409448819,59.23076923076924
15,1.7007874015748032,1.076923076923077,127.55905511811024,59.23076923076924
16,1.4173228346456692,1.076923076923077,106.29921259842519,59.23076923076924
17,1.0393700787401576,1.076923076923077,77.95275590551182,59.23076923076924
18,1.3228346456692912,0.9230769230769231,99.21259842519684,50.769230769230774
19,1.1338582677165354,0.9230769230769231,85.03937007874016,50.769230769230774
20,0.7559055118110236,0.9230769230769231,56.69291338582677,50.769230769230774
21,0.6614173228346456,0.9230769230769231,49.60629921259842,50.769230769230774
22,0.5669291338582677,0.9230769230769231,42.51968503937008,50.769230769230774
23,0.5669291338582677,0.9230769230769231,42.51968503937008,50.769230769230774
